ev,n,k,,,,,,,,,,,,,,,,
265.9,0.9872,5.07E-03,,,,,,,,,,,,,,,,
253.9,0.9862,5.68E-03,,,,,,,,,,,,,,,,
242.5,0.985,6.35E-03,,,,,,,,,,,,,,,,
231.5,0.9838,7.11E-03,,,,,,,,,,,,,,,,
221.1,0.9823,8.00E-03,,,,,,,,,,,,,,,,
211.1,0.9809,9.09E-03,,,,,,,,,,,,,,,,
201.5,0.9794,1.03E-02,,,,,,,,,,,,,,,,
192.4,0.9779,1.18E-02,,,,,,,,,,,,,,,,
183.7,0.9765,1.31E-02,,,,,,,,,,,,,,,,
175.5,0.9749,1.45E-02,,,,,,,,,,,,,,,,
167.5,0.9732,1.61E-02,,,,,,,,,,,,,,,,
160,0.9713,1.78E-02,,,,,,,,,,,,,,,,
152.7,0.9694,1.97E-02,,,,,,,,,,,,,,,,
145.8,0.9674,2.18E-02,,,,,,,,,,,,,,,,
139.3,0.9653,2.40E-02,,,,,,,,,,,,,,,,
133,0.9631,2.64E-02,,,,,,,,,,,,,,,,
127,0.9609,2.91E-02,,,,,,,,,,,,,,,,
121.2,0.9587,3.17E-02,,,,,,,,,,,,,,,,
115.8,0.9561,3.45E-02,,,,,,,,,,,,,,,,
110.5,0.9534,3.75E-02,,,,,,,,,,,,,,,,
105.5,0.9505,4.08E-02,,,,,,,,,,,,,,,,
100.8,0.9474,4.43E-02,,,,,,,,,,,,,,,,
98.47,0.9457,4.61E-02,,,,,,,,,,,,,,,,
96.22,0.944,4.81E-02,,,,,,,,,,,,,,,,
94.03,0.9422,5.01E-02,,,,,,,,,,,,,,,,
91.88,0.9403,5.22E-02,,,,,,,,,,,,,,,,
89.78,0.9383,5.44E-02,,,,,,,,,,,,,,,,
87.73,0.9363,5.67E-02,,,,,,,,,,,,,,,,
85.73,0.9341,5.92E-02,,,,,,,,,,,,,,,,
81.85,0.9295,6.44E-02,,,,,,,,,,,,,,,,
78.16,0.9243,7.02E-02,,,,,,,,,,,,,,,,
74.63,0.9172,7.70E-02,,,,,,,,,,,,,,,,
71.26,0.9102,8.77E-02,,,,,,,,,,,,,,,,
68.04,0.9034,0.1,,,,,,,,,,,,,,,,
64.97,0.8969,0.121,,,,,,,,,,,,,,,,
62.04,0.9013,0.149,,,,,,,,,,,,,,,,
59.24,0.9252,0.179,,,,,,,,,,,,,,,,
56.56,0.9751,0.191,,,,,,,,,,,,,,,,
55.27,1.012,0.185,,,,,,,,,,,,,,,,
54.01,1.109,0.175,,,,,,,,,,,,,,,,
52.77,1.004,5.36E-02,,,,,,,,,,,,,,,,
51.57,0.9695,5.44E-02,,,,,,,,,,,,,,,,
1504,0.999337,1.72E-04,,,,,,,,,,,,,,,,
1436,0.999278,2.03E-04,,,,,,,,,,,,,,,,
1371,0.999214,2.38E-04,,,,,,,,,,,,,,,,
1309,0.999146,2.79E-04,,,,,,,,,,,,,,,,
1250,0.999075,3.28E-04,,,,,,,,,,,,,,,,
1194,0.999,3.84E-04,,,,,,,,,,,,,,,,
1140,0.99892,4.49E-04,,,,,,,,,,,,,,,,
1088,0.99884,5.26E-04,,,,,,,,,,,,,,,,
1039,0.99876,6.15E-04,,,,,,,,,,,,,,,,
992.3,0.99869,7.19E-04,,,,,,,,,,,,,,,,
947.5,0.99862,8.38E-04,,,,,,,,,,,,,,,,
904.7,0.99857,9.80E-04,,,,,,,,,,,,,,,,
884.1,0.99856,1.06E-03,,,,,,,,,,,,,,,,
863.9,0.99858,1.15E-03,,,,,,,,,,,,,,,,
844.2,0.99863,1.10E-03,,,,,,,,,,,,,,,,
824.9,0.99857,1.19E-03,,,,,,,,,,,,,,,,
806,0.99856,1.28E-03,,,,,,,,,,,,,,,,
