w,n,k,,,,,,,,,,,,
26,0.89,0.376,,,,,,,,,,,,
25.8,0.887,0.383,,,,,,,,,,,,
25.6,0.886,0.395,,,,,,,,,,,,
25.4,0.884,0.402,,,,,,,,,,,,
25.2,0.881,0.408,,,,,,,,,,,,
25,0.877,0.411,,,,,,,,,,,,
24.8,0.874,0.418,,,,,,,,,,,,
24.6,0.876,0.434,,,,,,,,,,,,
24.4,0.872,0.436,,,,,,,,,,,,
24.2,0.87,0.443,,,,,,,,,,,,
24,0.867,0.45,,,,,,,,,,,,
23.8,0.865,0.468,,,,,,,,,,,,
23.6,0.859,0.477,,,,,,,,,,,,
23.4,0.861,0.482,,,,,,,,,,,,
23.2,0.862,0.493,,,,,,,,,,,,
23,0.863,0.504,,,,,,,,,,,,
22.8,0.861,0.511,,,,,,,,,,,,
22.6,0.863,0.515,,,,,,,,,,,,
22.4,0.862,0.522,,,,,,,,,,,,
22.2,0.865,0.537,,,,,,,,,,,,
22,0.872,0.556,,,,,,,,,,,,
21.8,0.874,0.561,,,,,,,,,,,,
21.6,0.875,0.571,,,,,,,,,,,,
21.4,0.875,0.571,,,,,,,,,,,,
21.2,0.878,0.575,,,,,,,,,,,,
21,0.882,0.59,,,,,,,,,,,,
